"timestamp","heartrate"
1477499850000,71
1477499860000,69
1477499865000,70
1477499870000,69
1477499880000,68
1477499885000,69
1477499890000,68
1477499900000,66
1477499910000,66
1477499925000,66
1477499940000,65
1477499950000,64
1477499965000,64
1477499970000,65
1477499980000,65
1477499985000,64
1477500000000,62
1477500005000,61
1477500010000,63
1477500020000,67
1477500025000,62
1477500030000,63
1477500040000,63
1477500050000,64
1477500055000,63
1477500070000,63
1477500075000,65
1477500080000,67
1477500090000,69
1477500095000,70
1477500105000,71
1477500110000,72
1477500120000,71
1477500135000,71
1477500140000,72
1477500150000,71
1477500160000,70
1477500170000,71
1477500180000,73
1477500195000,73
1477500200000,69
1477500210000,69
1477500220000,72
1477500230000,73
1477500240000,71
1477500255000,71
1477500270000,69
1477500280000,67
1477500290000,70
1477500305000,70
1477500320000,78
1477500330000,77
1477500340000,76
1477500345000,74
1477500350000,72
1477500360000,71
1477500365000,72
1477500370000,70
1477500380000,69
1477500385000,67
1477500390000,69
1477500400000,68
1477500410000,65
1477500420000,68
1477500430000,67
1477500445000,67
1477500450000,66
1477500460000,66
1477500470000,65
1477500480000,71
1477500490000,73
1477500500000,69
1477500505000,70
1477500520000,74
1477500525000,74
1477500540000,73
1477500550000,74
1477500555000,72
1477500570000,71
1477500580000,71
1477500595000,70
1477500610000,70
1477500625000,70
1477500630000,66
1477500635000,67
1477500650000,66
1477500660000,63
1477500665000,62
1477500670000,61
1477500680000,65
1477500695000,66
1477500710000,66
1477500725000,66
1477500735000,66
1477500740000,66
1477500750000,65
1477500765000,65
1477500775000,66
1477500790000,65
1477500805000,65
1477500820000,66
1477500825000,63
1477500830000,62
1477500845000,62
1477500850000,61
1477500865000,61
1477500870000,62
1477500875000,61
1477500885000,62
1477500900000,60
1477500915000,60
1477500920000,59
1477500925000,58
1477500940000,64
1477500950000,63
1477500965000,63
1477500970000,62
1477500980000,63
1477500990000,65
1477501000000,67
1477501010000,69
1477501020000,70
1477501035000,70
1477501040000,69
1477501055000,69
1477501060000,69
1477501070000,69
1477501080000,68
1477501085000,68
1477501100000,68
1477501110000,67
1477501125000,67
1477501130000,67
1477501145000,67
1477501160000,70
1477501170000,69
1477501180000,70
1477501190000,67
1477501195000,66
1477501210000,71
1477501215000,72
1477501230000,71
1477501235000,69
1477501250000,69
1477501255000,69
1477501260000,66
1477501275000,66
1477501285000,65
1477501290000,65
1477501305000,65
1477501310000,69
1477501320000,69
1477501330000,70
1477501340000,69
1477501350000,70
1477501360000,69
1477501365000,70
1477501370000,69
1477501375000,68
1477501390000,68
1477501400000,58
1477501405000,59
1477501415000,60
1477501430000,70
1477501440000,69
1477501450000,68
1477501460000,69
1477501470000,69
1477501485000,71
1477501490000,70
1477501495000,68
1477501500000,66
1477501510000,67
1477501520000,68
1477501535000,68
1477501550000,66
1477501555000,65
1477501560000,66
1477501570000,64
1477501580000,65
1477501590000,72
1477501595000,71
1477501610000,71
1477501620000,71
1477501635000,72
1477501640000,73
1477501650000,69
1477501660000,67
1477501665000,65
1477501670000,64
1477501685000,64
1477501690000,65
1477501700000,67
1477501705000,66
1477501710000,65
1477501720000,64
1477501730000,62
1477501735000,61
1477501740000,60
1477501750000,57
1477501755000,57
1477501760000,58
1477501770000,59
1477501780000,60
1477501795000,60
1477501810000,60
1477501825000,60
1477501830000,61
1477501840000,59
1477501845000,59
1477501850000,58
1477501855000,57
1477501860000,58
1477501870000,59
1477501880000,58
1477501890000,58
1477501900000,57
1477501910000,58
1477501915000,59
1477501920000,60
1477501930000,70
1477501940000,67
1477501950000,66
1477501965000,66
1477501980000,68
1477501985000,68
1477501990000,68
1477502000000,68
1477502005000,69
1477502020000,69
1477502035000,69
1477502040000,68
1477502045000,69
1477502050000,74
1477502060000,72
1477502065000,72
1477502070000,71
1477502085000,70
1477502090000,69
1477502105000,69
1477502115000,68
1477502120000,67
1477502135000,67
1477502145000,72
1477502150000,75
1477502155000,75
1477502160000,74
1477502175000,74
1477502180000,74
1477502195000,74
1477502210000,74
1477502225000,74
1477502240000,74
1477502250000,74
1477502260000,71
1477502270000,69
1477502275000,69
1477502280000,68
1477502295000,68
1477502305000,72
1477502310000,70
1477502325000,70
1477502330000,70
1477502335000,68
1477502350000,68
1477502360000,66
1477502375000,66
1477502380000,66
1477502395000,66
1477502400000,67
1477502410000,66
1477502415000,67
1477502420000,63
1477502425000,63
1477502440000,64
1477502455000,64
1477502470000,64
1477502480000,64
1477502490000,68
1477502505000,68
1477502510000,68
1477502515000,67
1477502530000,67
1477502545000,67
1477502560000,67
1477502575000,66
1477502590000,66
1477502605000,66
1477502620000,66
1477502630000,66
1477502640000,67
1477502655000,67
1477502670000,68
1477502680000,68
1477502690000,69
1477502695000,68
1477502710000,67
1477502720000,66
1477502735000,66
1477502740000,65
1477502755000,65
1477502760000,66
1477502775000,66
1477502790000,65
1477502805000,65
1477502820000,65
1477502835000,65
1477502840000,65
1477502855000,65
1477502865000,65
1477502870000,65
1477502885000,64
